,Item_name,Item number 1,Item number 2,Item number 3
0,Active classic boxers,Cap 1 boxer briefs|уровень: 0.251520| id: 18,Cap 1 bottoms|уровень: 0.197339| id: 17,Active boxer briefs|уровень: 0.196278| id: 493
1,Active sport boxer briefs,Active sport briefs|уровень: 0.528829| id: 2,Active briefs|уровень: 0.140213| id: 299,Active boy shorts|уровень: 0.109527| id: 298
2,Active sport briefs,Active sport boxer briefs|уровень: 0.528829| id: 1,Active briefs|уровень: 0.124742| id: 299,Active boy shorts|уровень: 0.111375| id: 298
3,Alpine guide pants,Alpine guide pants|уровень: 0.900038| id: 158,Guide jkt|уровень: 0.124067| id: 183,Rock guide pants|уровень: 0.117735| id: 342
4,Alpine wind jkt,Alpine wind jkt|уровень: 0.970987| id: 307,Multi use shorts|уровень: 0.074603| id: 206,Nine trails shorts|уровень: 0.065584| id: 96
5,Ascensionist jkt,Guide jkt|уровень: 0.252867| id: 183,Guide jkt|уровень: 0.251258| id: 437,Microburst jkt|уровень: 0.169408| id: 414
6,Atom,Pocket pack|уровень: 0.290152| id: 103,Hip pack|уровень: 0.267980| id: 402,Single shot|уровень: 0.206894| id: 353
7,Print banded betina btm,Solid betina btm|уровень: 0.922950| id: 219,Print bayonne btm|уровень: 0.337909| id: 239,Print sunamee btm|уровень: 0.281475| id: 261
8,Baby micro d-luxe cardigan,Micro d-luxe cardigan|уровень: 0.377210| id: 416,Araveto hooded jkt|уровень: 0.103062| id: 459,Synch snap-t|уровень: 0.097116| id: 319
9,Baby sun bucket hat,Trim brim hat|уровень: 0.377305| id: 424,Baby baggies shorts|уровень: 0.196711| id: 465,Girl's baggies shorts|уровень: 0.167439| id: 427
10,Baby sunshade top,Sunshade hoody|уровень: 0.368855| id: 418,Baby baggies apron dress|уровень: 0.123004| id: 464,Sunshade shirt|уровень: 0.094708| id: 411
11,Baggies shorts,River shorts|уровень: 0.250181| id: 401,Baggies shorts|уровень: 0.115849| id: 407,Baby baggies shorts|уровень: 0.111197| id: 465
12,Beach bucket,Bimini cap|уровень: 0.167301| id: 478,Surf brim|уровень: 0.165866| id: 134,Logo visor|уровень: 0.154111| id: 448
13,Better sweater jkt,Better sweater jkt|уровень: 0.366073| id: 165,Traverse jkt|уровень: 0.086355| id: 231,Aravis jkt|уровень: 0.077931| id: 160
14,Borderless shorts-11 in.,Borderless shorts-7 in.|уровень: 0.645266| id: 15,Borderless trek pants|уровень: 0.442608| id: 483,Borderless messenger shorts|уровень: 0.429620| id: 479
15,Borderless shorts-7 in.,Borderless shorts-11 in.|уровень: 0.645266| id: 14,Borderless trek pants|уровень: 0.443933| id: 483,Borderless messenger shorts|уровень: 0.433655| id: 479
16,Bucket hat,Trim brim hat|уровень: 0.144782| id: 424,Surf brim|уровень: 0.131716| id: 134,Baby sun bucket hat|уровень: 0.123782| id: 9
17,Cap 1 bottoms,Cap 1 bottoms|уровень: 0.577945| id: 170,Cap 1 t-shirt|уровень: 0.450300| id: 20,Cap 1 t-shirt|уровень: 0.438369| id: 171
