,Item_name,Item number 1,Item number 2,Item number 3
0,Active classic boxers,Cap 2 bottoms|уровень: 0.999170| id: 495,Cap 1 graphic crew|уровень: 0.999142| id: 487,Cap 2 v-neck|уровень: 0.999030| id: 173
1,Active sport boxer briefs,Guidewater shorts|уровень: 0.999265| id: 51,Baby live simply deer t-shirt|уровень: 0.999252| id: 469,Active sport briefs|уровень: 0.999150| id: 2
2,Active sport briefs,Active sport boxer briefs|уровень: 0.999150| id: 1,Borderless shorts|уровень: 0.999147| id: 328,Drift shirt|уровень: 0.999022| id: 282
3,Alpine guide pants,Alpine guide pants|уровень: 0.999928| id: 158,Rock guide pants|уровень: 0.999514| id: 342,Nine trails shorts|уровень: 0.999366| id: 96
4,Alpine wind jkt,Alpine wind jkt|уровень: 0.999996| id: 307,Micro puff vest|уровень: 0.999604| id: 203,Micro puff vest|уровень: 0.999534| id: 415
5,Ascensionist jkt,Traverse pants|уровень: 0.999346| id: 330,Sst jkt|уровень: 0.999282| id: 128,Simple guide pants|уровень: 0.999269| id: 352
6,Atom,Mlc|уровень: 0.999542| id: 429,Crosstown|уровень: 0.999300| id: 30,Mlc wheelie|уровень: 0.999276| id: 93
7,Print banded betina btm,Solid betina btm|уровень: 0.999874| id: 219,Organic cotton boxers|уровень: 0.998967| id: 364,Print paries btm|уровень: 0.998888| id: 260
8,Baby micro d-luxe cardigan,Micro d-luxe cardigan|уровень: 0.998907| id: 416,Synch marsupial|уровень: 0.998842| id: 65,Baby synch vest|уровень: 0.998768| id: 474
9,Baby sun bucket hat,Active classic cami|уровень: 0.998764| id: 300,Cap 1 bottoms|уровень: 0.998688| id: 17,Dala horse t-shirt|уровень: 0.998686| id: 176
10,Baby sunshade top,R1 hoody|уровень: 0.999369| id: 104,Cap 1 bottoms|уровень: 0.999209| id: 170,R2 jkt|уровень: 0.999137| id: 210
11,Baggies shorts,Baggies shorts|уровень: 0.999166| id: 311,River shorts|уровень: 0.999008| id: 401,Cap 2 t-shirt|уровень: 0.998999| id: 21
12,Beach bucket,Surf brim|уровень: 0.999260| id: 134,Kamala dress|уровень: 0.999098| id: 312,Print bibiana tankini|уровень: 0.998889| id: 240
13,Better sweater jkt,Storm light jkt|уровень: 0.998440| id: 385,Long haul runners|уровень: 0.998408| id: 449,All-time shell|уровень: 0.998407| id: 301
14,Borderless shorts-11 in.,Borderless trek pants|уровень: 0.999599| id: 483,Inter-continental capris|уровень: 0.999592| id: 186,Mlc|уровень: 0.999501| id: 429
15,Borderless shorts-7 in.,Mlc|уровень: 0.999549| id: 429,Borderless shorts-11 in.|уровень: 0.999492| id: 14,Crosstown|уровень: 0.999470| id: 30
16,Bucket hat,Deep wading jkt|уровень: 0.999588| id: 32,Guidewater jkt|уровень: 0.999325| id: 50,Traverse pants|уровень: 0.999302| id: 330
17,Cap 1 bottoms,Multi use skirt|уровень: 0.999516| id: 207,L/s island hopper shirt|уровень: 0.999402| id: 75,Dala horse t-shirt|уровень: 0.999306| id: 176
18,Cap 1 boxer briefs,Cap 3 bottoms|уровень: 0.999506| id: 439,Stretch polo|уровень: 0.999406| id: 131,Merino 1 graphic t-shirt|уровень: 0.999355| id: 199
19,Cap 1 graphic t-shirt,Cap 1 graphic t-shirt|уровень: 0.999876| id: 339,Cap 1 graphic crew|уровень: 0.999670| id: 487,Sleeveless a/c shirt|уровень: 0.999344| id: 217
20,Cap 1 t-shirt,Cap 1 bottoms|уровень: 0.999283| id: 17,Cap 1 graphic crew|уровень: 0.999275| id: 487,Cap 1 graphic tee|уровень: 0.999235| id: 59
21,Cap 2 t-shirt,Cap 2 crew|уровень: 0.999792| id: 496,Cap 2 t-shirt|уровень: 0.999748| id: 359,Cap 2 zip neck|уровень: 0.999617| id: 22
22,Cap 2 zip neck,Cap 2 zip neck|уровень: 0.999728| id: 174,Cap 2 t-shirt|уровень: 0.999617| id: 21,Cap 2 crew|уровень: 0.999589| id: 496
23,Cap 3 zip neck,Cap 3 crew|уровень: 0.999767| id: 442,Cap 3 crew|уровень: 0.999716| id: 440,Girona board shorts|уровень: 0.999677| id: 286
24,Cap 4 bottoms,Cap 4 bottoms|уровень: 0.999626| id: 175,Cap 4 zip neck|уровень: 0.999081| id: 276,R2 jkt|уровень: 0.999070| id: 210
25,City by the sea t-shirt,Wheat t-shirt|уровень: 0.999558| id: 236,Trampoli t-shirt|уровень: 0.999404| id: 275,Organic logo t-shirt|уровень: 0.999393| id: 97
26,Compound cargo pants,Compound cargo pants|уровень: 0.999991| id: 27,Compound cargo pants|уровень: 0.999991| id: 451,Compound cargo shorts|уровень: 0.999876| id: 452
27,Compound cargo pants,Compound cargo pants|уровень: 0.999991| id: 451,Compound cargo pants|уровень: 0.999991| id: 26,Compound cargo shorts|уровень: 0.999882| id: 452
28,Continental shorts,Continental pants|уровень: 0.999447| id: 453,Merino 1 graphic t-shirt|уровень: 0.999391| id: 199,Merino 1 tank|уровень: 0.999330| id: 200
29,Cotton board shorts,All-wear capris|уровень: 0.999081| id: 302,Trucker hat|уровень: 0.998861| id: 144,L/s steersman shirt|уровень: 0.998762| id: 77
30,Crosstown,Hip chest pack|уровень: 0.999649| id: 54,Lightwire|уровень: 0.999515| id: 435,Pack vest|уровень: 0.999510| id: 367
31,Custodian pants,Custodian pants|уровень: 0.999982| id: 461,Custodian pants|уровень: 0.999982| id: 462,Shop pants|уровень: 0.999358| id: 349
32,Deep wading jkt,Bucket hat|уровень: 0.999588| id: 16,Traverse pants|уровень: 0.999479| id: 330,M10 jkt|уровень: 0.999394| id: 84
33,Delivery shorts,Meridian board shorts|уровень: 0.998985| id: 258,S/s el ray shirt|уровень: 0.998773| id: 357,Cap 1 crew|уровень: 0.998758| id: 486
34,Down sweater vest,Down sweater vest|уровень: 0.999860| id: 281,Down sweater|уровень: 0.999823| id: 472,Down sweater|уровень: 0.999757| id: 178
35,Dragoons t-shirt,Planer t-shirt|уровень: 0.999398| id: 101,Fish frenzy t-shirt|уровень: 0.999386| id: 40,Peregrine t-shirt|уровень: 0.999350| id: 371
36,Duck pants,Duck pants|уровень: 0.999983| id: 480,Duck pants|уровень: 0.999983| id: 481,Custodian pants|уровень: 0.999026| id: 31
37,Elias fz sweatshirt,Undercover cami|уровень: 0.999108| id: 232,Cap 2 zip neck|уровень: 0.999030| id: 174,Cap 1 graphic t-shirt|уровень: 0.999011| id: 19
38,Elias sweatshirt,Sunshade hoody|уровень: 0.999038| id: 418,Simply organic top|уровень: 0.998988| id: 250,Thrift shorts|уровень: 0.998959| id: 325
39,Fezzman shirt,Astrid wrap|уровень: 0.998920| id: 310,Simple guide jkt|уровень: 0.998152| id: 119,Simple guide jkt|уровень: 0.998099| id: 215
40,Fish frenzy t-shirt,Peregrine t-shirt|уровень: 0.999422| id: 371,Wind path t-shirt|уровень: 0.999394| id: 396,Dragoons t-shirt|уровень: 0.999386| id: 35
